#source http://tongwen.openfoundry.org/src/tongwen_table/phrase_s2t.txt
0162FF,017834,014F96	0162FF,017834,015D19
01633A,01800C	0192CC,01800C
016342,014E0D,014F4F	016440,014E0D,014F4F
016342,014F4F	016440,014F4F
016342,0184CB	016440,0184CB
016349,0172F9	014FC3,0172F9
01634D,015FA1	01634D,0179A6
01634D,0162D2	01625E,0162D2
01634D,01683C	01625E,01683C
01637B,01624B	01649A,01624B
01637B,016307	01649A,016307
01637B,0182B1	01649A,0182B1
01637B,019322	01649A,019322
01637B,019999	01649A,019999
016383,0163CF	016383,017784
01639B,017919	017F63,017919
0163C9,018EAA	018E42,018EAA
016452,01606F	015C4F,01606F
0164A3,015B50	0164A2,015B50
0164AB,016064	0164AB,015379
0164BB,01865C	0197C3,01865C
0164CB,015FA1	0164CB,0179A6
0164E2,018DB3	016FEF,018DB3
0164E6,015E79	0164E6,014E7E
01650F,0165B7	0158DF,0165B7
01651D,01670D	0161FE,01670D
016523,01751F	015B7F,01751F
016536,017372	016536,017A6B
016548,016CD5	01509A,016CD5
016559,016094	016559,018AA8
016563,017F72	014F48,017F72
016566,01539A	0160C7,01539A
016566,016566	0160C7,0160C7
016566,016734	0160C7,016A38
016566,017766	0160C7,017766
016566,017BE4	0160C7,017BE4
016566,018AA8	0160C7,018AA8
016566,018B39	0160C7,018B39
016574,01500B	016574,01500B
016578,015929	016578,015929
016591,01721B	016591,016595
0165B0,018204	0165B0,016F5F
0165C1,015FA8	015FAC,015FA8
0165C1,0160F6	015FAC,015FA8
0165CB,016E26	016F29,016E26
0165D7,015E61	0165D7,0165DB
01660F,017791	01660F,01669D
01669D,0176EE	017791,0176EE
0166B4,0173CD,015929,017269	0166B4,016B84,015929,017269
01670D,018D17	01670D,0181BA
016728,017D0D	016728,018A25
01672A,017AEF	01672B,017AEF
016734,014FEE,0165AF	016A38,014FEE,0165AF
016734,015B78	016A38,015B78
016734,015BE6	016A38,015BE6
016734,0162D9	016A38,0162D9
016734,017389	01749E,017389
016734,0176F4	016A38,0176F4
016734,017D20	016A38,017D20
016734,018CEA	016A38,018CEA
016734,0191CE	016A38,0191CE
016771,016E67	016771,016D8C
01679D,0182BD	01679D,016792
016813,014F4F	0162F4,014F4F
016897,0176F4	019BC1,0176F4
016975,015F85,016551	014E9F,015F85,016551
016975,015F85,0189E3	014E9F,015F85,0189E3
016975,016975	014E9F,014E9F
016994,01982D	0193AF,01982D
0169A8,0153D6	01643E,0153D6
0169A8,016E23	01643E,016E23
0169A8,017518,018517	01643E,017518,018517
0169B4,019023	0169B4,0169E4
0169CB,019677	016406,019677
0169CC,016253	016425,016253
0169CC,0180CC	016425,0180CC
0169CC,0180F8	016425,0180F8
0169CC,01982D	01939A,01982D
0169CC,019F13	016425,019F13
016A1E,019215	016A1E,017D10
016A58,016897	016854,016897
016A5F,016292	016A5F,01677C
016B3D,015D0E	015D94,015D0E
016B49,01548E	016B49,01759A
016B78,014F9D,014F5B,019580	017688,014F9D,014F5B,019580
016B78,014F9D,016211,014F5B	017688,014F9D,016211,014F5B
016B78,016734	016B78,01749E
016B78,01771F,0153CD,016734	016B78,01771F,0153CD,01749E
016B78,017A76	016B78,01548E
016B98,0180B4	016B98,01991A
016BB7,0152E4	016147,0152E4
016BC0,018B17	018B6D,018B17
016C23,016168	016C23,016982
016C34,016E05,0153EF,01898B	016C34,016E05,0153EF,019451
016C34,016FC2	016C34,017C3E
016C61,018511	016C61,01884A
016C68,016C92	016C69,016C92
016C7A,0164C7	016289,0164C7
016C88,016DC0	016C88,016FB1
016C88,01967D	01700B,01967D
016C89,016DC0	016C89,016FB1
016C92,018F12	016C92,018F4D
016CBB,017594	016CBB,017642
016CBE,016C59	0173B7,016C59
016CBE,016C61	0173B7,016C59
016CBE,018FB1	0173B7,018FB1
016CDB,016FEB	016C3E,016FEB
016D5A,016DF1	016FEC,016DF1
016D85,0176E4	016D85,0169C3
016DBC,015E2D	016DBC,0184C6
016DC0,017C89	016FB1,017C89
016DD2,01606F	0168F2,01606F
016DD2,01621A	0160BD,01617C
016DEC,0153B2	016DEC,01792A
016DF3,016734	016DF3,016A38
016DF7,0180B4	016DF7,016DC6
016E05,016DC5	016E05,016670
016E6F,015718	016E6F,017CF0
016E9C,019054	016E9C,018E82
016EAA,0158D1	018C3F,0158D1
016EB6,015CA9	017194,015CA9
016EB6,0163A5	017194,0163A5
016EB6,017210	017194,017210
016EB6,0192B7	017194,0192B7
016EB6,019444	017194,019444
016F13,016C34	017055,016C34
016F13,016C5F	017055,016C5F
016F13,016E58	017055,016E58
016F66,0195CA	01907C,0195CA
016FC3,017E96	017A60,017E96
016FEB,01828B,015145,016578	016FEB,017AFD,015145,016578
017078,0171B1	017099,0171B1
0170B8,016BC0	0170B8,0171EC
0170CF,014E18	0170CF,015775
01710A,0163A5	0192B2,0163A5
01711A,016BC0	01711A,0171EC
017149,015B50	01934A,015B50
017149,019396	01934A,019396
017192,015149	0187A2,015149
017192,015C4F	0187A2,015C4F
017192,015E55	0187A2,015E55
017194,016BC0	017194,0171EC
0171D2,016BC0	0171D2,0171EC
017281,01725B	01729B,01725B
017337,018C6B	017336,018C6B
